"MASCARA","ANO","CODMUNIC","UF","SIGLA","MUNIC","DEP","LOC","CODFUNC","NOME_CUR","GRD_COD","AREA_COD","SUBAREAC","VEP111","VEP112","VEP113","VPE114","VEP115","VEP116","VEP117","VEP121","VEP122","VEP123","VEP124","VEP125","VEP126","VEP127","VEP118","VEP119","VEP128","VEP129","DEP131","DEP132","DEP133","DEP134","DEP135","DEP136","DEP137","NEP141","NEP142","NEP143","NEP144","NEP145","NEP146","NEP147","DEP138","DEP139","NEP148","NEP149"
22906767,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TÉCNICO EM INFORMATICA,D,D12,D1201,,50,29,29,10,3,1,,12,12,51,33,24,4,90,32,111,25,,,,,,,,,,4,4,4,1,1,,,14,
22908857,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TÉCNICO EM CONTABILIDADE,D,D13,D1302,,,,,,,,,,10,59,44,48,16,,,70,107,,1,2,3,,,,,,2,15,17,14,3,5,1,10,41
22908857,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TÉCNICO EM INFORMÁTICA,D,D12,D1201,,,,,,,,,,3,15,5,5,,,,17,11,,4,4,,,,,,,3,27,19,,,5,3,26,23
22914625,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,AGRICULTURA,A,A01,A0101,,20,27,18,4,,,,,,,,,,60,9,,,,,5,10,,,,,,,,,,,11,4,,
22914625,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,AGROINDUSTRIA,B,B03,B0310,,9,15,4,3,2,,,,,,,,,20,13,,,,,2,2,,,,,,,,,,,2,2,,
22914625,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,FLORESTAL,A,A01,A0101,,,4,13,3,,1,,,,,,,,16,5,,,,,2,12,1,,,,,,,,,,9,6,,
22914625,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,RECURSOS PESQUEIROS,A,A02,A0201,,31,19,9,3,1,,,,,,,,,30,33,,,,,,5,,,,,,,,,,,5,,,
22914625,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,SECRETARIADO,D,D13,D1303,,,,,,,,,,13,23,16,4,2,,,10,48,,,,,,,,,,,,,,,,,,
22914625,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,ZOOTECNIA,A,A01,A0101,,,26,22,7,1,,,,,,,,,30,26,,,,,4,10,,,,,,,,,,,13,1,,
22914628,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TEC EM GESTÃO COM ENFASE  EM RECURSOS HUMANOS,D,D13,D1301,,,,,,,,,1,38,8,1,2,,,,15,35,,,,,,,,,,,,,,,,,,
22914628,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TÉC EM GESTÃO COM ENFASE EM RECURSOS HUMANOS,D,D13,D1301,,,,,,,,,1,38,8,1,2,,,,15,35,,,,,,,,,,22,25,,,,,,18,29
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,MECANICA,B,B03,B0306,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,22,21,11,3,12,,53,4
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,MEIO AMBIENTE,D,D19,D1901,,,,,,,,,,,,,,,,,,,,,,12,17,4,2,,,,,,,,16,19,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,POS TECNICO EM GALVANOPLASTIA,B,B05,B0502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,,,,,7
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,PROCESSAMENTO DE DADOS,D,D12,D1201,,,,,,,,,,,,,,,,,,,,3,40,15,6,6,,,,,,,,,33,37,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,QUIMICA,B,B05,B0502,,,,,,,,,,,,,,,,,,,,2,17,25,8,7,1,,,,,,,,24,36,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,TECNICO EM TURISMO,D,D09,D0902,,,,,,,,,,1,9,8,7,8,,,11,22,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,EDIFICACOES,B,B06,B0601,,,,,,,,,,,,,,,,,,,,1,1,5,,,,,,2,20,11,5,3,4,3,25,16
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,ELETROTECNICA,B,B03,B0307,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,16,6,2,,4,2,17,7
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HAB E MANUTENCAO DE EQUIPAMENTOS ELETRONICOS,B,B03,B0307,1,26,12,30,12,4,,,,13,53,32,14,,57,28,85,27,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HAB EM MANUTENCAO DE COMP E PERIFERICOS,D,D12,D1201,,25,21,30,11,3,,,1,11,35,13,8,,52,38,47,21,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HAB EM MANUTENCAO DE CONTROLES AUTOMATICOS,D,D12,D1201,,,3,14,9,5,,,,6,35,22,16,,20,11,63,16,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HAB EM SISTEMAS DE COMUNICACO SEM FIO,D,D11,D1101,,40,29,3,,,,,1,9,26,14,8,,31,41,44,14,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HABILITACAO EM CONSTRUCAO CIVIL,B,B06,B0601,,42,27,29,6,2,5,,,11,30,16,14,3,73,38,48,26,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HABILITACAO EM GEREN MANUTENCAO AUTOMOTIVA,B,B03,B0308,,,7,25,13,8,2,,,,,,,,50,5,,,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HABILITACAO EM GESTAO AMBIENTAL INDUSTRIAL,D,D19,D1902,,5,16,13,3,5,3,,,,16,6,1,2,18,27,6,19,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HABILITACAO EM INSTALACOES PREDIAIS,B,B06,B0601,,,1,8,3,3,1,,,1,28,16,15,1,9,7,34,27,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HABILITACAO EM PLANEJAMENTO E PROJETO PREDIAL,B,B06,B0601,,,10,18,2,5,,,,6,14,4,7,4,16,19,20,15,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HABILITACAO EM PRODUCAO MECANICA,B,B03,B0306,,14,36,69,32,23,1,,,5,35,18,13,4,152,23,72,3,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HABILITACAO EM PRODUTOS NATURAIS,B,B05,B0502,,,13,16,3,6,1,,,7,15,3,3,1,9,30,10,19,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HABILITACAO EM PROGRAMACAO DE COMPUTADORES,D,D12,D1201,,50,44,65,12,6,1,,,11,33,15,4,,117,61,50,13,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HABILITACAO EM REFRIGERACAO E CLIMATIZACAO,B,B03,B0308,,,1,2,9,12,7,,,3,24,19,20,5,25,6,70,1,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HABILITACAO EM SEGURANCA DO TRABALHO,D,D14,D1401,,,,,,,,,,22,50,22,9,3,,,33,73,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HABILITACAO GESTAO AMBIENTAL,D,D19,D1901,,,,,,,,,,5,10,1,7,,,,7,16,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HABILITACAO INSTALACOES ELETRICAS INDUSTRIAIS,B,B03,B0307,,11,32,64,22,17,3,,,8,54,30,22,6,111,38,103,17,,,,,,,,,,,,,,,,,,
22906793,2002,130300702603,Amazonas,AM,MANAUS,Federal,Urbana,Ativo,HABILITACAO QUIMICA INDUSTRIAL,B,B05,B0502,,54,37,39,7,2,1,,,18,58,15,11,2,42,98,47,57,,,,,,,,,,,,,,,,,,
22923116,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TECNICO EM ELETRONICA,B,B03,B0307,3,72,5,,,,,,,,,,,,60,20,,,,,21,7,,,,,,,,,,,23,5,,
22923116,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TECNICO EM INFORMÁTICA,D,D12,D1201,,78,3,,,,,,,,,,,,52,29,,,,1,30,5,,,,,,,,,,,21,15,,
22923116,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TECNICO EM SISTEMAS DE TELECOMUNICAÇÕES,D,D11,D1101,3,34,2,,,,,,,,,,,,20,19,,,,,,,,,,,,,,,,,,,,
22953651,2002,130100103809,Amazonas,AM,SAO GABRIEL DA CACHOEIRA,Federal,Urbana,Ativo,BASES TECNOLOGICAS,A,A01,A0101,,24,14,12,,2,,,,,,,,,42,10,,,,,,,,,,,,,,,,,,,,
22953651,2002,130100103809,Amazonas,AM,SAO GABRIEL DA CACHOEIRA,Federal,Urbana,Ativo,TECNICO AGRICOLA HABILITACAO EM AGRICULTURA,A,A01,A0101,,3,4,16,6,1,,,,,,,,,26,4,,,,,13,8,,,,,,,,,,,7,14,,
22953651,2002,130100103809,Amazonas,AM,SAO GABRIEL DA CACHOEIRA,Federal,Urbana,Ativo,TECNICO AGRICOLA HABILITACAO EM PESCA,A,A02,A0201,,9,12,13,1,,1,,,,,,,,21,15,,,,,,,,,,,,,,,,,,,,
22953651,2002,130100103809,Amazonas,AM,SAO GABRIEL DA CACHOEIRA,Federal,Urbana,Ativo,TECNICO AGRICOLA HABILITACAO ZOOTECNIA,A,A01,A0101,,10,16,11,2,,,,,,,,,,25,14,,,,,7,4,,,,,,,,,,,6,5,,
22980629,2002,130300702603,Amazonas,AM,MANAUS,Particular,Rural,Ativo,TECNICO EM  AGROPECUARIA,A,A01,A0101,,5,10,25,1,,,,,,,,,,33,8,,,,,,1,,,,,,,,,,,1,,,
22986927,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,CURSO TÉCNICO EM ENFERMAGEM,D,D14,D1401,,3,41,123,89,85,7,,,1,42,69,48,6,31,317,16,150,,1,15,126,109,148,34,,,,75,102,119,26,33,400,41,281
22992506,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TECNICO EM ENFERMAGEM,D,D14,D1401,,10,25,12,30,8,11,,15,20,21,48,12,10,15,81,36,90,,8,3,11,10,8,6,,4,6,25,14,27,14,8,38,16,74
22986959,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TECNICO DE ENFERMAGEM,D,D14,D1401,,,,,,,,,,1,18,14,17,4,,,7,47,,,,,,,,74,,,,,,,,,5,69
22986959,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TECNICO NUTRICAO E DIETETICO,D,D14,D1401,,,,,,,,,,,10,6,10,2,,,5,23,,,,,,,,,,,,,,,,,,
22987738,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TECNICO EM ENFERMAGEM,D,D14,D1401,,,,25,11,18,5,,,,,,,,7,52,,,,,,,1,6,18,,,,,,,,2,23,,
22987741,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TÉCNICO EM ENFERMAGEM,D,D14,D1401,,,20,82,11,20,10,,,30,40,11,8,4,11,132,12,81,,,25,39,42,15,12,,,5,15,12,8,1,13,120,4,37
22987741,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TÉCNICO EM FARMÁCIA,D,D14,D1401,,,2,5,8,1,,,,5,3,8,6,2,1,15,4,20,,,,,,,,,,,1,2,8,2,,,4,9
22987741,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TÉCNICO EM PRÓTESE DENTÁRIA,D,D14,D1401,,,,,,,,,,3,5,6,3,1,,,9,9,,,,,,,,,,,,1,3,,,,1,3
22987742,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,ENFERMAGEM,D,D14,D1401,700,,,,,,,700,,,,,,,70,630,100,600,44,,,,,,,75,,,,,,,4,40,8,67
22992510,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TÉCNICO DE ENFERMAGEM,D,D14,D1401,,,3,38,31,20,4,,,,,,,,16,80,,,,,,4,12,11,3,,,,,,,,6,24,,
22880684,2002,140100100100,Roraima,RR,BOA VISTA,Federal,Urbana,Ativo,AUXILIAR EM ENFERMAGEM,D,D14,D1401,,,,2,15,41,36,,,,6,7,38,17,19,75,20,48,,,,,,,,,,,,,,,,,,
22880684,2002,140100100100,Roraima,RR,BOA VISTA,Federal,Urbana,Ativo,MAGISTERIO EM EDUCAÇÃO FISICA,D,D17,D1701,,,,,,,,,,,12,8,1,2,,,17,6,,,,,,,,,,,12,8,1,2,,,17,6
22880684,2002,140100100100,Roraima,RR,BOA VISTA,Federal,Urbana,Ativo,TECNICO EM AGRIMENSURA,B,B07,B0701,,,3,7,4,2,,,,1,39,13,7,,9,7,27,33,,,,,,,,,,1,21,3,1,,,,12,14
22880684,2002,140100100100,Roraima,RR,BOA VISTA,Federal,Urbana,Ativo,TECNICO EM EDIFICAÇÕES,B,B06,B0601,,,3,12,4,3,,,,23,70,21,10,3,16,6,77,50,,,7,6,1,,,,,,,,,,3,11,,
22880684,2002,140100100100,Roraima,RR,BOA VISTA,Federal,Urbana,Ativo,TECNICO EM ELETRONICA,B,B03,B0307,,,6,15,1,3,1,,,10,16,8,8,,23,3,42,,,,,,,,,,,,,,,,,,,
22880684,2002,140100100100,Roraima,RR,BOA VISTA,Federal,Urbana,Ativo,TECNICO EM ELETROTECNICA,B,B03,B0307,,,11,6,2,1,,,,13,47,39,8,3,18,2,87,23,,,,,,,,,,4,15,8,2,,,,28,1
22880684,2002,140100100100,Roraima,RR,BOA VISTA,Federal,Urbana,Ativo,TECNICO EM ENFERMAGEM,D,D14,D1401,,,16,23,29,3,7,,,,,,,,29,49,,,,,2,4,3,3,3,,,,,,,,,15,,
22880684,2002,140100100100,Roraima,RR,BOA VISTA,Federal,Urbana,Ativo,TECNICO EM INFORMATICA,D,D12,D1201,,,,,,,,,4,36,26,11,9,4,,,47,43,,,,,,,,,,,,,,,,,,
22880684,2002,140100100100,Roraima,RR,BOA VISTA,Federal,Urbana,Ativo,TECNICO EM RECREAÇÃO E LAZER,D,D17,D1701,,,,15,12,11,2,,2,16,32,9,12,2,19,21,36,37,,,,,,,,,,,,,,,,,,
22880684,2002,140100100100,Roraima,RR,BOA VISTA,Federal,Urbana,Ativo,TECNICO EM SECRETARIADO,D,D13,D1303,,,,,,,,,1,14,51,18,14,2,,,5,95,,,,,,,,,,,,,,,,,,
22880684,2002,140100100100,Roraima,RR,BOA VISTA,Federal,Urbana,Ativo,TECNICO EM TRANSAÇÕES  IMOBILIARIAS,C,C08,C0804,,,,,,,,,1,10,22,17,5,4,,,22,37,,,,,,,,,,,,,,,,,,
22880684,2002,140100100100,Roraima,RR,BOA VISTA,Federal,Urbana,Ativo,TECNICO EM TURISMO,D,D09,D0902,,,,,,,,,,16,17,5,23,6,,,18,49,,,,,,,,,,,,,,,,,,
22880684,2002,140100100100,Roraima,RR,BOA VISTA,Federal,Urbana,Ativo,TÉCNICO EM LABORATÓRIO,D,D14,D1401,,,,,,,,,1,20,18,12,1,2,,,19,35,,,,,,,,,,,,,,,,,,
22926942,2002,150300701402,Para,PA,BELEM,Estadual,Urbana,Ativo,TÉCNICO EM ENFERMAGEM,D,D14,D1401,1,1,12,53,13,9,1,,,,,,,,19,71,,,,,,,,,,,,,,,,,,,,
22926943,2002,150300701402,Para,PA,BELEM,Particular,Urbana,Ativo,CURSO TECNICO DE TURISMO,D,D09,D0902,,,,,,,,,,7,1,10,,,,,10,8,,,,,,,,,,,,,,,,,,
22926943,2002,150300701402,Para,PA,BELEM,Particular,Urbana,Ativo,TECNICO EM DESIGN,D,D20,D2002,,,,,,,,,,4,10,13,,,,,13,14,,,,,,,,,,,,,,,,,,
22926943,2002,150300701402,Para,PA,BELEM,Particular,Urbana,Ativo,TECNICO EM PATOLOGIA,D,D14,D1401,,,,,,,,,,7,12,10,,,,,17,12,,,,,,,,,,,,,,,,,,
22926943,2002,150300701402,Para,PA,BELEM,Particular,Urbana,Ativo,TECNICO EM PROCESSAMENTO DE DADOS,D,D12,D1201,,,,,,,,,,23,20,42,,,,,50,35,,,,,,,,,,,,,,,,,,
22926943,2002,150300701402,Para,PA,BELEM,Particular,Urbana,Ativo,TECNICO EM SEGURANÇA DO TRABALHO,D,D14,D1401,,,,,,,,,,19,28,52,,,,,70,29,,,,,,,,,,,,,,,,,,
22943184,2002,150300701402,Para,PA,BELEM,Estadual,Urbana,Ativo,CONSTRUÇÃO CIVIL,B,B06,B0601,,15,21,18,12,20,10,,,15,12,6,14,1,65,31,40,8,,,,,,,,,,,,,,,,,,
22943184,2002,150300701402,Para,PA,BELEM,Estadual,Urbana,Ativo,ELETRICA,D,D12,D1201,,13,20,15,13,13,22,,8,4,3,10,15,8,87,9,44,4,,,,,,,,,,,,,,,,,,
22943184,2002,150300701402,Para,PA,BELEM,Estadual,Urbana,Ativo,ELETRONICA,B,B03,B0307,,16,16,15,15,14,20,,,8,21,13,6,,80,16,42,6,,,,,,,,,,,,,,,,,,
22943184,2002,150300701402,Para,PA,BELEM,Estadual,Urbana,Ativo,MECANICA,B,B03,B0306,,12,15,24,13,13,19,,5,5,10,12,13,3,88,8,45,3,,,,,,,,,,,,,,,,,,
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,AGRIMENSURA,B,B07,B0701,,25,46,76,18,7,3,,,,,,,,92,83,,,,,4,17,4,1,,,,,,,,,11,15,,
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,AUTOMAÇÃO E CONTROLE,B,B03,B0307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,6,1
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,CONSTRUÇÃO DE SISTEMAS RODOVIÁRIOS,B,B06,B0601,,5,41,41,5,5,,,,5,42,17,11,3,64,33,53,25,,,,,,,,,,,,,,,,,,
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,DESENHO INDUSTRIAL,D,D20,D2002,,,,9,1,1,,,,,,,,,5,6,,,,,,1,1,,,,,,,,,,1,1,,
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,DESENVOLVEDOR DE PROGRAMA,D,D12,D1201,,14,27,32,4,4,2,,1,8,11,4,3,,65,18,22,5,,,,,,,,,,,,,,,,,,
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,DESIGN DE JOIAS,D,D20,D2001,,,,,,,,,15,6,10,3,,,,,4,30,,,,,,,,,,,,,,,,,,
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,DESIGN DE MOVEIS E INTERIORES,D,D20,D2002,,,23,29,3,3,,,,,,,,,13,45,,,,,,,,,,,,,,,,,,,,
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,EDIFICAÇOES,B,B06,B0601,,2,18,12,4,2,,,,9,11,2,2,,25,13,15,9,,,4,11,3,,1,,,,17,3,,1,13,6,16,5
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,ELETRONICA,B,B03,B0307,,2,16,19,4,6,1,,,,,,,,42,6,,,,,2,25,6,,,,,,,,,,24,9,,
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,ELETROTECNICA,B,B03,B0307,,,17,24,4,1,,,,,,,,,38,8,,,,,,,,,,,,5,13,,,,,,16,2
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,ESTRADAS,B,B06,B0601,,,10,15,1,1,,,,,,,,,17,10,,,,,3,16,4,,1,,,,,,,,15,9,,
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,FABRICAÇAO MECANICA,B,B03,B0306,,27,41,39,1,2,,,,6,17,8,1,,101,9,29,3,,,,,,,,,,,,,,,,,,
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,GEMOLOGIA,B,B04,B0401,,,,3,1,1,,,,,,,,,2,3,,,,,,,,3,2,,,,,,,,3,2,,
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,GEOPROCESSAMENTO,B,B07,B0701,,,,,,,,,,4,18,5,1,,,,18,10,,,,,,,,,,,13,11,3,1,,,17,11
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,INDUSTRIAL QUIMICO,B,B05,B0502,1,30,33,30,4,3,,,,,17,3,,,54,47,7,13,,,,,,,,,,,,,,,,,,
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,INSTALAÇAO DE ELETRICAS PREDDIAIS E INDUSTRIAIS,B,B03,B0307,,8,8,4,,,,,,6,20,6,6,1,16,4,36,3,,,,,,,,,,,,,,,,,,
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,INSTALAÇOES E MANUENÇAO EM SISTEMA DE ENERGIA ELET,B,B03,B0307,,,,,,,,,2,18,17,3,1,,,,38,3,,,3,11,2,,,,,,,,,,12,4,,
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,LABORATORIO DE CONTROLE DE SOLOS CONCRETO E ASFALT,B,B06,B0601,,,,,,,,,,9,29,9,5,1,,,32,21,,,,,,,,,,,,,,,,,,
22936948,2002,150300701402,Para,PA,BELEM,Federal,Urbana,Ativo,MANUTENÇAO DE SISTEMA DE AUTOMAÇAO POR CLP,B,B03,B0307,,,3,13,,,,,,9,50,12,10,,14,2,76,5,,,,,,,,,,,,,,,,,,
